Item,Qty,Price (USD),Link & Source,Notes
BirdMesh-Health_edition,1,,BirdCAD.FCStd,
Lumber W200 and W150,-,40.15,"https://www.bauhaus.cz/hoblovane-prkno-31586397
https://www.bauhaus.cz/hoblovane-prkno-31587637",
Wood screw,-,,,
,,,,
"XIAO nRF52840 & Wio-SX1262
System with MT",1,13.74,"https://www.seeedstudio.com/XIAO-nRF52840-Wio-SX1262-Kit-for-Meshtastic-p-6400.html
https://www.aliexpress.com/item/1005008760784706.html",
Seed studio shipping + VAT,-,12.3,,
INA219,1,0.99,https://www.aliexpress.com/item/1005007533576335.html,
LoRa Antennas 868,1,9.55,https://www.aliexpress.com/item/1005009210548173.html  868MHz Gray,
N female to ipex1,1,5.82,https://www.aliexpress.com/item/1005004544654739.html  N F PM to RF-1 F 25cm,
Solar panel 200x170 or 140x220,2,4.93,https://www.aliexpress.com/item/4000393330799.html,
Adjustable MPPT Charger,1,4.42,https://www.aliexpress.com/item/1005006026796945.html  12V,
Shotky diode min. 2A,2,1.02,https://www.aliexpress.com/item/1005007315756569.html,
2S LTO Battery (super safe),2,11.79,https://www.aliexpress.com/item/1005009179422202.html  2PCS,
Cable,-,,BYO,
,,,,
SHT30 temperature + humidity,2,2.25,https://www.aliexpress.com/item/1005005039058968.html,
LIS3DH accelerometer,1,0.99,https://www.aliexpress.com/item/1005010373628490.html LIS3DH Blue,
IR light gate,1,1.57,https://www.aliexpress.com/item/1005008380273543.html,With 1Hz sample rate for efficiency.
BSS138 N channel mosfet,1,0.99,https://www.aliexpress.com/item/1005006996598577.html BSS138,
VEML7700 light sensor,1,0.99,https://www.aliexpress.com/item/1005007482226626.html,
Groove cables,4,4.04,"https://www.aliexpress.com/item/1005005682847096.html PH 2.0MM, 4P, 30CM",
6 port groove hub,1,4.57,"https://www.aliexpress.com/item/1005007166918060.html
https://www.seeedstudio.com/Grove-Shield-for-Seeeduino-XIAO-p-4621.html",
Total,,120.11,,
